learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,final_value,total_return_pct,market_return_pct,outperformance_pct,sharpe_ratio,max_drawdown_pct
1e-05,1024,64,0.95,0.9,0.2,0.0,10004.381981084414,0.04381981084414292,-9.575557,9.619376774526318,0.2033555892946882,-39.475292365058166
5e-05,512,128,0.95,0.95,0.2,0.0,10873.888119414814,8.738881194148144,-9.575557,18.314438157830317,0.3705219895078123,-44.15587938301325
0.0001,1024,128,0.95,0.95,0.2,0.0,8949.849915754257,-10.501500842457427,-9.575557,-0.9259438787752511,0.12824399599933858,-53.03590523715139
0.0001,1024,128,0.95,0.95,0.1,0.01,9519.078198835783,-4.809218011642169,-9.575557,4.766338952040005,0.20699872119582732,-47.765193184622746
1e-05,1024,128,0.99,0.95,0.2,0.0,9739.2779271127,-2.6072207288729987,-9.575557,6.968336234809176,0.1893208717287473,-45.69589018862457
1e-05,1024,64,0.99,0.9,0.1,0.01,10010.735494168082,0.10735494168082368,-9.575557,9.682911905362998,0.22843744271153715,-44.638293654752545
1e-05,512,64,0.95,0.9,0.1,0.0,10123.64666367877,1.2364666367876997,-9.575557,10.812023600469875,0.26851425111635496,-47.33377108578206
5e-05,1024,64,0.99,0.95,0.2,0.01,9362.709425891051,-6.37290574108949,-9.575557,3.2026512225926855,0.07535362162522076,-37.27067305755847
0.0001,1024,128,0.99,0.95,0.1,0.01,9679.425838412188,-3.205741615878124,-9.575557,6.3698153478040505,0.273848558135661,-45.501598556745634
0.0001,512,128,0.99,0.9,0.1,0.0,9733.210957450954,-2.667890425490459,-9.575557,6.907666538191716,0.16587772504779413,-35.48806389401932
5e-05,1024,64,0.95,0.9,0.1,0.0,9575.380404312858,-4.246195956871415,-9.575557,5.3293610068107595,0.2257262955356088,-47.55003730201216
1e-05,512,128,0.95,0.9,0.1,0.01,10040.38835806044,0.4038835806043971,-9.575557,9.979440544286572,0.2595493685495618,-42.3268248445592
1e-05,512,64,0.95,0.9,0.1,0.01,9783.704087267408,-2.162959127325921,-9.575557,7.4125978363562535,0.2193092555788774,-41.55086144706741
5e-05,512,128,0.95,0.9,0.1,0.0,10304.28433764615,3.0428433764614966,-9.575557,12.61840034014367,0.23084107700760642,-36.46666907797715
5e-05,1024,128,0.95,0.9,0.2,0.0,9663.906034723732,-3.360939652762682,-9.575557,6.214617310919493,0.22335583250594598,-47.994173322005906
1e-05,512,128,0.99,0.9,0.2,0.0,9174.617929421129,-8.253820705788712,-9.575557,1.3217362578934633,0.15598173747148728,-48.67818298573968
1e-05,512,64,0.99,0.9,0.2,0.01,9317.754414265026,-6.822455857349742,-9.575557,2.7531011063324327,0.19430214278318078,-47.230611474017714
1e-05,512,128,0.95,0.95,0.2,0.01,9705.077300288063,-2.9492269971193674,-9.575557,6.626329966562808,0.20611451995589905,-42.13815031544913
1e-05,1024,64,0.95,0.95,0.1,0.0,9946.17310683374,-0.5382689316626057,-9.575557,9.03728803201957,0.2656446676790964,-45.56067312786733
1e-05,1024,64,0.95,0.9,0.1,0.0,10483.658274389005,4.836582743890048,-9.575557,14.412139707572225,0.32168477090109737,-44.82639730398322
1e-05,512,64,0.95,0.95,0.1,0.01,9685.302152539414,-3.1469784746058576,-9.575557,6.428578489076317,0.2060107745535482,-43.46322608529996
5e-05,512,64,0.99,0.9,0.2,0.0,10458.492609467987,4.584926094679868,-9.575557,14.160483058362042,0.3154777662541282,-47.47972286385558
5e-05,1024,64,0.99,0.95,0.2,0.0,9882.470410917078,-1.1752958908292204,-9.575557,8.400261072852954,0.2002558545847821,-40.546871831237276
0.0001,512,128,0.95,0.9,0.2,0.0,9801.260384930958,-1.9873961506904199,-9.575557,7.588160812991755,0.24930760575068422,-45.861028913686354
5e-05,1024,128,0.99,0.9,0.2,0.0,10071.27591024265,0.7127591024264984,-9.575557,10.288316066108672,0.22879289641708586,-41.011814254692055
5e-05,512,64,0.95,0.9,0.2,0.01,9592.36470435818,-4.076352956418195,-9.575557,5.499204007263979,0.21871737474400163,-50.304968172589106
5e-05,1024,128,0.99,0.9,0.1,0.0,9491.807207092432,-5.0819279290756825,-9.575557,4.493629034606492,0.1581028208790347,-41.79031532789421
0.0001,1024,128,0.99,0.9,0.1,0.01,9617.545469488681,-3.824545305113188,-9.575557,5.751011658568986,0.24356219501699986,-47.84895207750147
5e-05,512,64,0.99,0.95,0.2,0.0,10921.862718857457,9.218627188574574,-9.575557,18.794184152256747,0.3773552266394287,-44.058916069682894
0.0001,1024,128,0.95,0.95,0.1,0.0,9794.582454054791,-2.05417545945209,-9.575557,7.521381504230085,0.18105865246085534,-35.89905004984658
0.0001,512,64,0.95,0.95,0.1,0.01,10383.69249378396,3.836924937839594,-9.575557,13.412481901521769,0.27343599101924526,-39.620059077077784
5e-05,1024,128,0.99,0.9,0.2,0.01,9599.500123258738,-4.004998767412617,-9.575557,5.570558196269558,0.1937875334143895,-44.26256328024378
1e-05,1024,128,0.95,0.95,0.1,0.0,9489.961608222995,-5.10038391777005,-9.575557,4.475173045912125,0.19034264810385584,-50.356363035174525
0.0001,512,64,0.95,0.95,0.2,0.0,10428.622121171886,4.286221211718858,-9.575557,13.861778175401032,0.3015138097113861,-40.915488222425964
0.0001,1024,64,0.95,0.95,0.1,0.0,8914.94096592407,-10.8505903407593,-9.575557,-1.2750333770771256,0.14417349685573136,-50.888139250356005
1e-05,512,64,0.95,0.9,0.2,0.01,9912.472229446907,-0.8752777055309344,-9.575557,8.700279258151241,0.20791583996903318,-37.70492765380349
5e-05,1024,64,0.95,0.95,0.1,0.01,9945.905121177791,-0.5409487882220856,-9.575557,9.03460817546009,0.25354075811839033,-47.91080924511244
0.0001,512,64,0.95,0.9,0.2,0.01,9608.64262905374,-3.9135737094625984,-9.575557,5.661983254219576,0.280397377118295,-45.59919124670705
0.0001,1024,64,0.99,0.9,0.2,0.0,9721.094639347037,-2.7890536065296327,-9.575557,6.786503357152542,0.1843441235674203,-44.788216997638095
0.0001,1024,128,0.95,0.95,0.2,0.01,9579.846947714635,-4.201530522853646,-9.575557,5.374026440828529,0.25017708659550497,-48.23566066384256
5e-05,1024,128,0.99,0.95,0.1,0.0,9876.414089454742,-1.2358591054525823,-9.575557,8.339697858229592,0.2543140345235878,-49.0088388492815
0.0001,512,128,0.95,0.9,0.2,0.01,9608.64262905374,-3.9135737094625984,-9.575557,5.661983254219576,0.280397377118295,-45.59919124670705
5e-05,1024,64,0.99,0.9,0.2,0.01,10184.451618829098,1.8445161882909815,-9.575557,11.420073151973156,0.25863301131459726,-43.244962480534745
5e-05,512,128,0.99,0.95,0.2,0.01,9518.773853168852,-4.812261468311481,-9.575557,4.763295495370694,0.15964109191935053,-44.73912139885825
0.0001,512,64,0.95,0.9,0.2,0.0,9972.164366558176,-0.27835633441824026,-9.575557,9.297200629263934,0.24034130541366383,-47.75411502935402
1e-05,512,64,0.99,0.9,0.1,0.0,9731.625753716486,-2.6837424628351436,-9.575557,6.891814500847031,0.16360191025160478,-42.035251569565816
1e-05,1024,64,0.99,0.95,0.2,0.0,10030.033123891608,0.30033123891607827,-9.575557,9.875888202598253,0.25513411726866975,-48.42606448460533
1e-05,512,128,0.95,0.95,0.1,0.01,9759.156619766803,-2.4084338023319654,-9.575557,7.16712316135021,0.21645281017257845,-43.34054244582614
0.0001,512,64,0.99,0.9,0.2,0.0,9530.751869691156,-4.692481303088444,-9.575557,4.883075660593731,0.054623506962245966,-31.352160989187272
0.0001,1024,64,0.99,0.9,0.1,0.0,9654.157158712165,-3.4584284128783476,-9.575557,6.117128550803827,0.16627089842261417,-42.15237172090775
1e-05,1024,64,0.99,0.9,0.2,0.01,8919.001422233656,-10.809985777663442,-9.575557,-1.2344288139812671,0.09750081896276828,-44.05908945572041
1e-05,1024,64,0.99,0.9,0.2,0.0,10004.549374539674,0.045493745396743175,-9.575557,9.621050709078919,0.2636375281568712,-46.787875976636215
5e-05,1024,128,0.99,0.95,0.2,0.01,9999.164163346377,-0.008358366536231189,-9.575557,9.567198597145945,0.25185655681552155,-51.29071414263008
5e-05,512,64,0.95,0.95,0.2,0.0,9779.52706700585,-2.2047293299414923,-9.575557,7.370827633740682,0.1837160850927156,-38.54748125101381
1e-05,1024,128,0.95,0.9,0.2,0.0,10260.216885079342,2.602168850793423,-9.575557,12.177725814475599,0.30005603620337296,-42.8237315238865
5e-05,1024,128,0.95,0.9,0.1,0.01,10048.74145562345,0.48741455623450747,-9.575557,10.062971519916681,0.22671461613024765,-41.11642127131901
0.0001,512,128,0.95,0.95,0.2,0.0,9608.64262905374,-3.9135737094625984,-9.575557,5.661983254219576,0.280397377118295,-45.59919124670705
5e-05,512,128,0.99,0.95,0.1,0.0,10480.764978067977,4.807649780679768,-9.575557,14.383206744361942,0.31668038788692526,-47.69761078610456
1e-05,1024,128,0.99,0.9,0.2,0.0,9798.573181978843,-2.0142681802115656,-9.575557,7.561288783470609,0.19691569845082812,-42.39789353726822
1e-05,1024,128,0.95,0.9,0.1,0.01,9940.638282378908,-0.5936171762109189,-9.575557,8.981939787471257,0.25655557644882243,-46.42971771549461
5e-05,512,64,0.99,0.9,0.1,0.01,9980.475389399373,-0.19524610600627057,-9.575557,9.380310857675903,0.26471068354537447,-45.70139369130685
5e-05,1024,64,0.95,0.9,0.2,0.01,9527.174996310017,-4.728250036899826,-9.575557,4.847306926782348,0.13524365107925537,-40.70863151405016
5e-05,1024,128,0.99,0.95,0.1,0.01,9598.172730253767,-4.018272697462326,-9.575557,5.557284266219849,0.2791455484397941,-45.59919124670705
1e-05,512,64,0.95,0.9,0.2,0.0,10231.842502039115,2.3184250203911505,-9.575557,11.893981984073324,0.290293622052109,-45.09253254898844
1e-05,512,128,0.99,0.9,0.1,0.0,9962.843210584233,-0.37156789415766983,-9.575557,9.203989069524505,0.2651200613279551,-47.20126450545068
5e-05,512,64,0.99,0.9,0.2,0.01,10039.429696511432,0.3942969651143176,-9.575557,9.969853928796493,0.21091840730817848,-42.39167031901858
0.0001,1024,64,0.95,0.9,0.1,0.01,10410.432224804143,4.104322248041426,-9.575557,13.6798792117236,0.29975233249417,-44.13489294207
5e-05,1024,64,0.99,0.9,0.2,0.0,10087.055639533166,0.8705563953316595,-9.575557,10.446113359013834,0.2732376845201921,-44.90206938116954
0.0001,1024,64,0.99,0.95,0.2,0.01,11088.012915649755,10.880129156497551,-9.575557,20.455686120179724,0.3744708575896315,-41.435866926346854
0.0001,512,64,0.99,0.95,0.1,0.0,9129.515665563838,-8.704843344361615,-9.575557,0.8707136193205595,0.12210887334667622,-51.73068967706291
0.0001,1024,64,0.95,0.95,0.1,0.01,10208.242516546119,2.0824251654611907,-9.575557,11.657982129143365,0.2700578303830328,-40.189644291372986
1e-05,1024,64,0.99,0.95,0.1,0.01,9392.274322100273,-6.077256778997271,-9.575557,3.4983001846849033,0.11878295983454924,-44.48873288251779
1e-05,512,128,0.99,0.95,0.1,0.01,10197.770351090958,1.9777035109095775,-9.575557,11.553260474591752,0.24387296836585126,-40.62406525574583
1e-05,1024,128,0.95,0.9,0.2,0.01,9871.047737015868,-1.2895226298413216,-9.575557,8.286034333840853,0.29606340586418517,-45.20274201143303
0.0001,1024,128,0.99,0.9,0.2,0.01,10415.902289802922,4.159022898029216,-9.575557,13.73457986171139,0.2524213503974605,-37.077063071689466
5e-05,512,64,0.95,0.9,0.1,0.0,9912.471558523557,-0.8752844147644281,-9.575557,8.700272548917747,0.17943678974320476,-38.254002643393115
0.0001,512,128,0.95,0.95,0.2,0.01,9737.318514031569,-2.6268148596843095,-9.575557,6.948742103997866,0.14398810889421926,-34.48892524932806
1e-05,512,64,0.95,0.95,0.2,0.01,9733.887267664571,-2.661127323354285,-9.575557,6.914429640327889,0.26106783262537614,-47.95942001303432
5e-05,512,128,0.95,0.9,0.1,0.01,9608.64262905374,-3.9135737094625984,-9.575557,5.661983254219576,0.280397377118295,-45.59919124670705
0.0001,512,128,0.99,0.95,0.2,0.01,9595.42036030268,-4.045796396973201,-9.575557,5.5297605667089735,0.15937851368906616,-42.35390505362496
1e-05,1024,128,0.99,0.95,0.2,0.01,10642.454312487049,6.424543124870488,-9.575557,16.000100088552664,0.2824054912693743,-35.77312718957747
5e-05,1024,64,0.99,0.95,0.1,0.01,9492.951476183473,-5.070485238165275,-9.575557,4.5050717255169,0.21811784415684696,-46.44109131130511
0.0001,512,64,0.99,0.95,0.1,0.01,9042.331770040055,-9.576682299599451,-9.575557,-0.001125335917276371,0.09396210303194676,-49.833624720395974
5e-05,1024,64,0.99,0.9,0.1,0.01,9795.956247086084,-2.0404375291391625,-9.575557,7.535119434543012,0.16791233634121053,-36.18288197287755
5e-05,512,64,0.95,0.95,0.1,0.01,9787.342985801988,-2.126570141980119,-9.575557,7.448986821702055,0.1915590658567923,-46.919698829045196
1e-05,1024,128,0.99,0.95,0.1,0.01,10294.488350300175,2.9448835030017473,-9.575557,12.52044046668392,0.29236625136172356,-44.64291149073928
0.0001,1024,64,0.99,0.9,0.1,0.01,10441.062905079132,4.4106290507913215,-9.575557,13.986186014473494,0.30150895063330496,-45.29962216417027
1e-05,512,128,0.95,0.9,0.2,0.01,9787.396354910357,-2.126036450896427,-9.575557,7.449520512785749,0.2005446892756448,-42.40965503677806
5e-05,1024,64,0.95,0.95,0.2,0.01,10736.162379442934,7.361623794429343,-9.575557,16.937180758111516,0.3447644431221583,-43.145746214534896
1e-05,1024,128,0.99,0.9,0.1,0.0,9535.013797594836,-4.649862024051635,-9.575557,4.92569493963054,0.16757503857337758,-42.377548526913166
1e-05,1024,128,0.95,0.9,0.1,0.0,10019.733582549597,0.19733582549597486,-9.575557,9.77289278917815,0.2660346367131993,-44.97174164223745
1e-05,1024,128,0.99,0.9,0.2,0.01,10309.189894491705,3.0918989449170478,-9.575557,12.667455908599223,0.2891663969295924,-47.868917399038125
0.0001,512,128,0.99,0.95,0.1,0.01,9025.348241210944,-9.746517587890558,-9.575557,-0.17096062420838276,0.08564639656306984,-48.634914905665724
0.0001,512,64,0.95,0.95,0.2,0.01,9483.321353084293,-5.166786469157068,-9.575557,4.408770494525107,0.19640214567128583,-49.815857477195
0.0001,1024,64,0.95,0.95,0.2,0.0,10666.589620464027,6.6658962046402666,-9.575557,16.24145316832244,0.3442382211081677,-44.956461297339544
5e-05,1024,128,0.95,0.95,0.2,0.01,10351.070392568694,3.5107039256869395,-9.575557,13.086260889369115,0.21775059612728342,-31.982757576464426
0.0001,512,128,0.99,0.9,0.1,0.01,10096.606500254997,0.9660650025499672,-9.575557,10.541621966232142,0.22667906682841607,-40.88971824421124
0.0001,1024,64,0.95,0.9,0.2,0.01,10363.13297790685,3.631329779068492,-9.575557,13.206886742750667,0.31867813453448923,-44.7860697227616
0.0001,512,128,0.99,0.95,0.2,0.0,9481.57957802769,-5.184204219723106,-9.575557,4.391352743959069,0.178593822310697,-47.796989387884004
0.0001,512,128,0.99,0.9,0.2,0.01,9390.666001604275,-6.093339983957248,-9.575557,3.482216979724926,0.18872978809192775,-50.018075705681774
0.0001,1024,128,0.95,0.9,0.1,0.01,10655.805673038725,6.558056730387252,-9.575557,16.133613694069425,0.33497580373797725,-42.07155492361129
1e-05,1024,128,0.95,0.95,0.2,0.01,9813.29550590367,-1.8670449409632965,-9.575557,7.708512022718877,0.2199209881994462,-38.88116868112308
1e-05,1024,128,0.95,0.95,0.1,0.01,9946.722377008664,-0.532776229913361,-9.575557,9.042780733768813,0.23556520343474746,-41.936966992819514
0.0001,1024,64,0.99,0.9,0.2,0.01,10632.859735029711,6.328597350297113,-9.575557,15.904154313979287,0.2987034344401373,-38.33917663520934
0.0001,1024,128,0.95,0.9,0.2,0.01,10433.738720686153,4.337387206861531,-9.575557,13.912944170543707,0.266831365214859,-37.40158138372526
0.0001,512,64,0.95,0.95,0.1,0.0,10144.49650902569,1.4449650902569011,-9.575557,11.020522053939077,0.24431327064182196,-40.132850557651246
5e-05,512,64,0.95,0.9,0.1,0.01,9471.30310524,-5.286968947599998,-9.575557,4.288588016082176,0.16787971628398143,-49.48565563886955
0.0001,512,128,0.95,0.95,0.1,0.01,9917.81040439531,-0.8218959560469011,-9.575557,8.753661007635273,0.22621738458812307,-40.34714666264711
0.0001,512,64,0.99,0.9,0.2,0.01,9608.64262905374,-3.9135737094625984,-9.575557,5.661983254219576,0.280397377118295,-45.59919124670705
1e-05,512,64,0.99,0.9,0.2,0.0,10047.574374839345,0.4757437483934518,-9.575557,10.051300712075626,0.22375479494801306,-46.00655624524151
5e-05,512,64,0.99,0.95,0.1,0.0,9697.704034915194,-3.022959650848061,-9.575557,6.552597312834113,0.2462902178614765,-44.83935410474963
5e-05,512,128,0.95,0.95,0.1,0.0,10106.710424662011,1.0671042466201106,-9.575557,10.642661210302286,0.1839080409283118,-34.91090373505562
0.0001,512,128,0.95,0.95,0.1,0.0,10207.31464513974,2.073146451397406,-9.575557,11.64870341507958,0.26489837167850805,-44.16808640465105
5e-05,1024,128,0.99,0.9,0.1,0.01,9630.046092408538,-3.6995390759146174,-9.575557,5.876017887767557,0.17903786380600917,-43.898255053494815
0.0001,1024,128,0.99,0.95,0.1,0.0,8971.939694769464,-10.28060305230536,-9.575557,-0.7050460886231846,0.134625821099222,-46.85206378937748
5e-05,512,64,0.95,0.9,0.2,0.0,10429.306216546885,4.2930621654688546,-9.575557,13.86861912915103,0.3105972261954429,-45.27713568654813
1e-05,512,128,0.95,0.95,0.1,0.0,9769.290140728055,-2.3070985927194485,-9.575557,7.268458370962725,0.22749078777155052,-49.47338032102996
1e-05,512,128,0.95,0.9,0.1,0.0,9674.991590882435,-3.2500840911756494,-9.575557,6.325472872506525,0.24464582705780558,-47.38821890283366
1e-05,512,128,0.99,0.95,0.2,0.0,9491.648123793253,-5.083518762067469,-9.575557,4.492038201614705,0.2663457708359332,-45.59919124670705
0.0001,1024,64,0.95,0.95,0.2,0.01,9951.427480171658,-0.4857251982834168,-9.575557,9.089831765398758,0.20753532510483153,-41.01263492956527
5e-05,512,64,0.95,0.95,0.2,0.01,10074.04799073005,0.7404799073005052,-9.575557,10.31603687098268,0.2638340129797062,-47.879527574389115
1e-05,1024,64,0.95,0.9,0.2,0.01,9452.283193608147,-5.4771680639185245,-9.575557,4.09838889976365,0.2051718267465793,-47.1395031644232
0.0001,512,64,0.99,0.9,0.1,0.0,9792.209309991458,-2.077906900085418,-9.575557,7.497650063596757,0.2293742766848684,-39.81955462306137
0.0001,1024,64,0.95,0.9,0.2,0.0,10316.012530158214,3.1601253015821382,-9.575557,12.735682265264314,0.2615010299329939,-40.27186798081953
5e-05,512,128,0.99,0.9,0.2,0.01,9529.426502302558,-4.7057349769744174,-9.575557,4.869821986707757,0.22578369626458145,-46.2237097208876
0.0001,1024,64,0.99,0.95,0.1,0.01,9483.112204611558,-5.1688779538844205,-9.575557,4.406679009797754,0.2192827139224282,-46.364521973935105
0.0001,1024,128,0.95,0.9,0.2,0.0,9125.857764696135,-8.74142235303865,-9.575557,0.8341346106435235,0.14809885915975476,-52.16889014939816
0.0001,1024,128,0.99,0.9,0.1,0.0,10442.006791677868,4.420067916778681,-9.575557,13.995624880460856,0.31770675586419184,-45.314571360678165
5e-05,512,128,0.99,0.9,0.1,0.01,9349.109789473612,-6.508902105263878,-9.575557,3.0666548584182967,0.18551173482594815,-49.261536391825864
1e-05,1024,128,0.95,0.95,0.2,0.0,9394.396644200198,-6.056033557998017,-9.575557,3.519523405684158,0.1222240200756869,-44.93265173466759
1e-05,512,64,0.95,0.95,0.1,0.0,10785.799153399685,7.857991533996847,-9.575557,17.433548497679023,0.3411151774331928,-41.16870488718468
0.0001,512,64,0.95,0.9,0.1,0.01,8762.251867229039,-12.37748132770961,-9.575557,-2.8019243640274363,0.14172746448477946,-48.51782935205243
5e-05,1024,128,0.95,0.9,0.2,0.01,9502.238171893532,-4.977618281064679,-9.575557,4.597938682617496,0.18663137907897492,-47.41731162131762
5e-05,1024,64,0.95,0.95,0.2,0.0,10803.308050966214,8.033080509662142,-9.575557,17.608637473344317,0.3426493297891768,-41.118140116511405
0.0001,1024,64,0.95,0.9,0.1,0.0,10739.23789048383,7.392378904838297,-9.575557,16.967935868520474,0.3446790230781376,-46.275704356736746
5e-05,1024,128,0.99,0.95,0.2,0.0,9807.034011591022,-1.9296598840897787,-9.575557,7.6458970795923955,0.19907499448740873,-42.872062828726285
1e-05,512,64,0.99,0.95,0.2,0.01,9915.321538829605,-0.8467846117039516,-9.575557,8.728772351978224,0.21372862322270395,-38.90479985426549
0.0001,1024,64,0.99,0.95,0.2,0.0,9821.684643212993,-1.7831535678700674,-9.575557,7.792403395812107,0.23822574349991246,-47.47954216217134
0.0001,512,64,0.99,0.95,0.2,0.0,9394.755813912865,-6.052441860871349,-9.575557,3.5231151028108254,0.09147280495615703,-38.62273035679416
1e-05,1024,64,0.95,0.9,0.1,0.01,9635.06885692727,-3.6493114307273027,-9.575557,5.926245532954872,0.19575603585989887,-45.01171598822975
5e-05,1024,128,0.95,0.95,0.1,0.0,9658.453234827115,-3.41546765172885,-9.575557,6.160089311953325,0.13720598502420434,-38.32371133070684
5e-05,512,64,0.99,0.95,0.1,0.01,10684.01668487703,6.840166848770296,-9.575557,16.41572381245247,0.3431465795568395,-44.678532068109625
5e-05,512,128,0.99,0.9,0.2,0.0,10049.298537165392,0.4929853716539219,-9.575557,10.068542335336096,0.22500851393879523,-41.089870291372286
1e-05,1024,64,0.99,0.95,0.1,0.0,10205.786041555824,2.057860415558243,-9.575557,11.633417379240418,0.2814094988504359,-47.9176732465704
1e-05,512,128,0.95,0.9,0.2,0.0,9835.870349216808,-1.641296507831921,-9.575557,7.934260455850254,0.23955734342663285,-43.0111525912787
1e-05,1024,64,0.95,0.95,0.1,0.01,9892.987072011305,-1.0701292798869508,-9.575557,8.505427683795224,0.24954263552032582,-46.46721257418215
5e-05,1024,64,0.99,0.95,0.1,0.0,10389.371908252142,3.89371908252142,-9.575557,13.469276046203593,0.3055377557682303,-45.56870760657856
1e-05,1024,64,0.99,0.95,0.2,0.01,9657.24835957871,-3.4275164042128927,-9.575557,6.1480405594692815,0.19267212985836443,-43.999383359121126
5e-05,512,128,0.95,0.9,0.2,0.01,10347.296685345327,3.472966853453272,-9.575557,13.048523817135447,0.2924560055309786,-43.93698284290297
5e-05,1024,128,0.95,0.95,0.2,0.0,10476.806495268966,4.768064952689656,-9.575557,14.343621916371829,0.31674653864317576,-41.97238497255687
1e-05,1024,128,0.99,0.95,0.1,0.0,9482.990938827787,-5.170090611722135,-9.575557,4.405466351960039,0.12317141836200116,-44.0903808074805
1e-05,1024,64,0.95,0.95,0.2,0.01,10109.443737537684,1.0944373753768377,-9.575557,10.669994339059013,0.25729554425848344,-39.65446247664455
0.0001,512,128,0.95,0.9,0.1,0.0,10219.496695359341,2.1949669535934118,-9.575557,11.770523917275586,0.2604393291934024,-42.026288695387294
0.0001,512,128,0.99,0.9,0.2,0.0,8786.403165457314,-12.135968345426864,-9.575557,-2.5604113817446885,-0.13178305283681205,-32.863108070208824
1e-05,1024,64,0.95,0.95,0.2,0.0,10137.136975068657,1.371369750686572,-9.575557,10.946926714368747,0.2897315709425162,-47.477260491772725
1e-05,512,64,0.99,0.95,0.1,0.0,10121.402295801588,1.2140229580158848,-9.575557,10.78957992169806,0.2566767465299247,-46.49615383705583
5e-05,1024,128,0.95,0.95,0.1,0.01,9967.75273984252,-0.3224726015747911,-9.575557,9.253084362107383,0.25228590620049374,-50.54554806795629
0.0001,512,128,0.95,0.9,0.1,0.01,9426.26480829227,-5.737351917077303,-9.575557,3.8382050466048714,0.09148474926814715,-40.37987740004311
0.0001,1024,128,0.95,0.9,0.1,0.0,9642.733071260413,-3.5726692873958745,-9.575557,6.0028876762863,0.2510072038209121,-45.6150078149551
1e-05,512,64,0.99,0.95,0.2,0.0,9675.010035040841,-3.2498996495915886,-9.575557,6.325657314090585,0.19330516044501728,-43.686000404337236
0.0001,512,128,0.99,0.95,0.1,0.0,9808.260612859705,-1.9173938714029466,-9.575557,7.658163092279229,0.20526286832494325,-42.067273559016996
5e-05,512,128,0.99,0.95,0.1,0.01,10914.979240634995,9.149792406349953,-9.575557,18.725349370032127,0.37651119976456915,-44.058916069682894
1e-05,512,128,0.99,0.95,0.2,0.01,9317.180168078448,-6.828198319215517,-9.575557,2.7473586444666576,0.10328142087922051,-44.97691633496329
0.0001,512,64,0.95,0.9,0.1,0.0,10167.427306903593,1.674273069035935,-9.575557,11.24983003271811,0.287445585192034,-45.61178046888033
0.0001,1024,128,0.99,0.9,0.2,0.0,9690.21879484636,-3.097812051536403,-9.575557,6.477744912145772,0.1730123204803121,-40.33413209814972
0.0001,1024,64,0.99,0.95,0.1,0.0,10868.380354997204,8.683803549972035,-9.575557,18.25936051365421,0.3654669216399994,-42.57314578535784
5e-05,1024,128,0.95,0.9,0.1,0.0,9952.18115465305,-0.47818845346950184,-9.575557,9.097368510212672,0.19218823438660074,-39.53576397749362
1e-05,512,128,0.99,0.95,0.1,0.0,10047.531138994944,0.47531138994943833,-9.575557,10.050868353631612,0.22881458295142112,-41.059496879623836
5e-05,1024,64,0.95,0.95,0.1,0.0,9384.256339602827,-6.157436603971727,-9.575557,3.4181203597104473,0.19512899774704526,-51.455651816978396
5e-05,512,128,0.99,0.9,0.1,0.0,10247.940336384683,2.479403363846832,-9.575557,12.054960327529006,0.29576548702092076,-45.54261589466356
1e-05,512,64,0.95,0.95,0.2,0.0,9631.639239830014,-3.683607601699859,-9.575557,5.891949361982316,0.2041328358049777,-45.907577364185656
